participant_id,trial_index,interface_source,target_color_name,target_hex,clicked_color_name,clicked_hex,time_taken_ms,is_correct
Sean,266,round2,Brown,#5A3507,Red,#E04747,1292.5,False
Sean,267,original,Brown,#7F6000,Brown,#7F6000,1694.7999999523163,True
Sean,268,original,Brown,#7F6000,Brown,#7F6000,1392.5,True
Sean,269,round2,Purple,#7030A0,Purple,#7030A0,1435.3999998569489,True
Sean,270,round2,Blue,#82EEFD,Blue,#82EEFD,1132.7000000476837,True
Sean,271,round2,Purple,#7030A0,Purple,#7030A0,1541.2999999523163,True
Sean,272,round2,Green,#04F994,Green,#04F994,2081.600000143051,True
Sean,273,round2,Brown,#5A3507,Brown,#5A3507,1772.2999999523163,True
Sean,274,original,Purple,#7030A0,Purple,#7030A0,1535.5999999046326,True
Sean,275,original,Blue,#002F8E,Purple,#7030A0,1206.8000001907349,False
Sean,276,original,Green,#9DE951,Yellow,#FFFF00,1880.3999998569489,False
Sean,277,round2,Brown,#5A3507,Brown,#5A3507,2446.2999999523163,True
Sean,278,round2,Red,#E04747,Red,#E04747,1447.0999999046326,True
Sean,279,original,Blue,#002F8E,Blue,#002F8E,1439.3999998569489,True
Sean,280,round2,Brown,#5A3507,Brown,#5A3507,1852.7000000476837,True
